,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.0,1.17,1.21,1.16,1.13,1.16,0.81,0.91,0.98,0.87,0.96,0.96,0.9,0.85,0.95,0.96,0.83,0.94,1.17,1.27,1.45,1.47,1.73,2.07,1.89,2.06,2.51,2.63,2.7,2.8,2.99,3.25,3.41,3.15,3.77,4.0,4.01,4.37,4.47,4.65,4.6,4.75,4.54,5.02,5.12,4.6,5.18,5.22,4.75,5.0,5.24,5.07,4.8,4.78,4.28,5.13,4.02,3.43,4.01,3.63,2.76
0.6931471805599453,1.1749999999999998,1.205,1.15,1.13,1.135,0.855,0.935,0.98,0.91,0.96,0.945,0.925,0.885,0.955,0.955,0.905,1.01,1.25,1.36,1.52,1.59,1.82,2.15,2.055,2.285,2.635,2.71,2.8,2.895,3.06,3.335,3.465,3.35,3.875,3.975,4.045,4.42,4.545,4.640000000000001,4.685,4.805,4.775,5.06,5.085,4.744999999999999,5.13,5.125,4.885,5.0600000000000005,5.2,5.055,4.855,4.755000000000001,4.550000000000001,5.045,4.015,3.625,3.975,3.39,3.06
1.0986122886681098,1.18,1.2,1.14,1.13,1.11,0.9,0.96,0.98,0.95,0.96,0.93,0.95,0.92,0.96,0.95,0.98,1.08,1.33,1.45,1.59,1.71,1.91,2.23,2.22,2.51,2.76,2.79,2.9,2.99,3.13,3.42,3.52,3.55,3.98,3.95,4.08,4.47,4.62,4.63,4.77,4.86,5.01,5.1,5.05,4.89,5.08,5.03,5.02,5.12,5.16,5.04,4.91,4.73,4.82,4.96,4.01,3.82,3.94,3.15,3.36
1.3862943611198906,1.185,1.1949999999999998,1.1349999999999998,1.14,1.1,0.94,0.99,1.02,0.98,1.0,0.985,0.985,0.965,0.985,0.98,1.075,1.235,1.505,1.61,1.69,1.855,2.02,2.335,2.405,2.65,2.885,2.96,3.035,3.085,3.235,3.555,3.63,3.74,4.12,4.13,4.225,4.529999999999999,4.68,4.72,4.84,4.970000000000001,5.125,5.14,5.08,4.955,5.105,5.065,5.055,5.140000000000001,5.140000000000001,5.05,4.970000000000001,4.845000000000001,4.875,4.975,4.109999999999999,3.955,4.015,3.26,3.425
1.791759469228055,1.19,1.19,1.13,1.15,1.09,0.98,1.02,1.06,1.01,1.04,1.04,1.02,1.01,1.01,1.01,1.17,1.39,1.68,1.77,1.79,2.0,2.13,2.44,2.59,2.79,3.01,3.13,3.17,3.18,3.34,3.69,3.74,3.93,4.26,4.31,4.37,4.59,4.74,4.81,4.91,5.08,5.24,5.18,5.11,5.02,5.13,5.1,5.09,5.16,5.12,5.06,5.03,4.96,4.93,4.99,4.21,4.09,4.09,3.37,3.49
2.4849066497880004,1.31,1.24,1.19,1.22,1.13,1.09,1.28,1.35,1.15,1.31,1.39,1.26,1.28,1.21,1.2,1.55,1.83,2.09,2.13,1.99,2.21,2.28,2.63,2.75,2.96,3.2,3.35,3.33,3.32,3.45,3.8,3.77,4.01,4.31,4.34,4.38,4.58,4.73,4.82,4.9,5.07,5.21,5.11,5.01,4.91,4.99,4.94,5.0,5.09,4.96,4.9,4.89,4.95,4.91,4.85,4.19,4.05,4.04,3.26,3.34
3.1780538303479458,1.72,1.53,1.51,1.51,1.33,1.32,1.8,1.95,1.5,1.85,2.06,1.84,1.84,1.66,1.6,2.31,2.54,2.7,2.68,2.41,2.63,2.56,3.02,3.08,3.29,3.59,3.8,3.66,3.6,3.66,4.02,3.84,4.18,4.4,4.42,4.41,4.54,4.69,4.82,4.87,5.04,5.16,4.97,4.79,4.71,4.71,4.62,4.82,4.94,4.65,4.58,4.6,4.92,4.87,4.56,4.15,3.97,3.94,3.04,3.05
3.58351893845611,2.16,1.91,1.93,1.95,1.58,1.66,2.33,2.51,1.95,2.36,2.56,2.37,2.35,2.13,1.99,2.86,3.1,3.16,3.09,2.75,2.89,2.82,3.29,3.25,3.43,3.75,3.96,3.73,3.65,3.67,4.06,3.83,4.18,4.41,4.41,4.37,4.49,4.67,4.83,4.87,5.03,5.13,4.93,4.71,4.62,4.62,4.52,4.74,4.85,4.55,4.54,4.54,4.88,4.89,4.55,4.16,4.03,3.94,3.09,3.07
4.0943445622221,3.02,2.69,2.78,2.85,2.3,2.46,3.38,3.46,2.85,3.27,3.38,3.25,3.17,3.01,2.8,3.63,3.81,3.81,3.71,3.33,3.38,3.3,3.72,3.63,3.71,4.0,4.18,3.9,3.76,3.72,4.12,3.87,4.18,4.45,4.42,4.35,4.47,4.61,4.82,4.92,5.04,5.1,4.91,4.7,4.59,4.57,4.45,4.7,4.82,4.52,4.54,4.51,4.86,4.92,4.6,4.25,4.23,4.16,3.41,3.45
4.430816798843313,3.55,3.24,3.35,3.39,2.87,3.03,3.98,4.0,3.41,3.8,3.89,3.77,3.68,3.48,3.33,4.11,4.26,4.24,4.13,3.76,3.79,3.7,4.07,3.94,3.92,4.18,4.33,4.03,3.86,3.8,4.19,3.93,4.23,4.49,4.45,4.36,4.49,4.57,4.83,4.98,5.06,5.11,4.93,4.7,4.6,4.57,4.45,4.7,4.82,4.53,4.58,4.55,4.87,4.96,4.67,4.36,4.38,4.29,3.64,3.7
4.787491742782046,4.0,3.71,3.83,3.89,3.37,3.54,4.49,4.45,3.96,4.33,4.34,4.27,4.16,3.99,3.86,4.53,4.66,4.62,4.5,4.13,4.14,4.05,4.36,4.24,4.14,4.36,4.5,4.21,4.0,3.94,4.28,4.02,4.34,4.57,4.49,4.39,4.53,4.55,4.86,5.07,5.12,5.15,4.99,4.74,4.64,4.61,4.46,4.71,4.83,4.56,4.65,4.63,4.9,5.03,4.78,4.54,4.59,4.48,3.97,4.04
