,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.0,1.64,2.07,1.22,1.17,1.98,1.6,1.55,1.63,1.02,0.12,0.02,0.11,0.15,0.16,0.17,0.04,0.14,0.17,0.14,0.11,0.06,0.01,0.08,0.04,0.02,0.09,0.15,0.14,0.15,0.17,0.14,0.16,0.14,0.14,0.18,0.07,0.15,0.13,0.05,0.02,0.04,0.01,0.16,0.01,0.02,0.02,0.02,0.01,0.04,0.08,0.05,0.07,0.03,0.04,0.07,0.09,0.06,0.09,0.11,0.02
0.6931471805599453,1.7999999999999998,1.96,1.2999999999999998,1.2999999999999998,1.935,1.75,1.615,1.6749999999999998,0.97,0.29,0.015,0.11,0.195,0.21,0.19,0.09,0.14,0.18,0.16,0.13,0.1,0.03,0.07,0.05,0.05,0.11,0.155,0.15,0.155,0.175,0.145,0.15,0.15,0.13,0.175,0.095,0.15,0.14,0.07,0.03,0.05,0.02,0.13,0.015,0.02,0.015,0.015,0.015,0.05,0.08,0.06,0.085,0.05,0.065,0.09,0.09,0.08,0.1,0.095,0.035
1.0986122886681098,1.96,1.85,1.38,1.43,1.89,1.9,1.68,1.72,0.92,0.46,0.01,0.11,0.24,0.26,0.21,0.14,0.14,0.19,0.18,0.15,0.14,0.05,0.06,0.06,0.08,0.13,0.16,0.16,0.16,0.18,0.15,0.14,0.16,0.12,0.17,0.12,0.15,0.15,0.09,0.04,0.06,0.03,0.1,0.02,0.02,0.01,0.01,0.02,0.06,0.08,0.07,0.1,0.07,0.09,0.11,0.09,0.1,0.11,0.08,0.05
1.3862943611198906,2.015,1.84,1.4449999999999998,1.535,1.95,2.035,1.785,1.845,1.26,0.7,0.225,0.19,0.3,0.355,0.32,0.215,0.22,0.27,0.22,0.195,0.16,0.105,0.105,0.13,0.1149999999999999,0.16,0.2,0.205,0.19,0.2,0.175,0.165,0.175,0.145,0.19,0.155,0.16,0.1649999999999999,0.13,0.075,0.09,0.065,0.13,0.035,0.04,0.0349999999999999,0.0349999999999999,0.04,0.07,0.105,0.11,0.125,0.105,0.125,0.125,0.115,0.12,0.135,0.105,0.08
1.791759469228055,2.07,1.83,1.51,1.64,2.01,2.17,1.89,1.97,1.6,0.94,0.44,0.27,0.36,0.45,0.43,0.29,0.3,0.35,0.26,0.24,0.18,0.16,0.15,0.2,0.15,0.19,0.24,0.25,0.22,0.22,0.2,0.19,0.19,0.17,0.21,0.19,0.17,0.18,0.17,0.11,0.12,0.1,0.16,0.05,0.06,0.06,0.06,0.06,0.08,0.13,0.15,0.15,0.14,0.16,0.14,0.14,0.14,0.16,0.13,0.11
2.4849066497880004,2.11,1.77,1.55,1.85,2.22,2.36,2.27,2.17,1.78,1.34,0.9,0.37,0.51,0.72,0.57,0.49,0.47,0.56,0.48,0.43,0.4,0.37,0.27,0.47,0.3,0.32,0.41,0.41,0.34,0.32,0.29,0.25,0.27,0.22,0.27,0.29,0.26,0.25,0.3,0.22,0.18,0.19,0.2,0.1,0.13,0.12,0.12,0.12,0.13,0.18,0.19,0.2,0.18,0.21,0.16,0.16,0.17,0.18,0.18,0.16
3.1780538303479458,2.17,1.65,1.62,2.29,2.66,2.63,2.52,2.36,2.0,1.56,1.0,0.76,0.94,1.0,0.81,0.91,0.92,1.11,1.13,0.97,0.95,0.9,0.67,1.14,0.82,0.81,1.02,0.97,0.76,0.61,0.55,0.47,0.42,0.34,0.45,0.61,0.58,0.69,0.8,0.61,0.45,0.45,0.36,0.2,0.25,0.25,0.25,0.25,0.22,0.3,0.33,0.27,0.27,0.33,0.23,0.22,0.23,0.3,0.25,0.25
3.58351893845611,2.27,1.87,1.79,2.49,2.93,2.91,2.81,2.6,2.28,1.8,1.27,1.0,1.32,1.4,1.15,1.38,1.42,1.64,1.62,1.49,1.45,1.43,1.12,1.7,1.38,1.36,1.6,1.51,1.26,1.0,0.84,0.72,0.64,0.51,0.72,1.02,0.98,1.18,1.29,1.01,0.79,0.81,0.55,0.33,0.42,0.41,0.41,0.36,0.3,0.43,0.51,0.38,0.35,0.41,0.3,0.3,0.31,0.38,0.34,0.36
4.0943445622221,2.82,2.5,2.46,3.03,3.41,3.34,3.25,3.1,2.98,2.8,1.93,1.55,1.85,1.99,1.67,2.02,2.34,2.54,2.53,2.39,2.31,2.31,2.01,2.69,2.34,2.3,2.55,2.43,2.1,1.79,1.6,1.33,1.27,1.17,1.47,2.01,1.95,2.13,2.24,1.97,1.68,1.76,1.35,0.96,0.96,0.99,0.96,0.83,0.71,0.87,1.04,0.82,0.67,0.72,0.6,0.59,0.62,0.72,0.61,0.72
4.430816798843313,3.19,2.96,2.88,3.34,3.68,3.61,3.56,3.45,3.38,3.29,2.35,1.87,2.27,2.69,2.28,2.7,3.06,3.19,3.14,3.03,2.93,2.98,2.69,3.39,3.08,3.05,3.28,3.12,2.75,2.42,2.3,1.92,1.91,1.89,2.16,2.71,2.71,2.82,2.9,2.66,2.37,2.5,2.09,1.56,1.43,1.58,1.53,1.35,1.24,1.39,1.61,1.33,1.03,1.11,0.98,1.01,1.04,1.14,1.04,1.18
