JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2440042.8,11.7,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440044.8,11.8,,,Vis.,LVT,,,,,,,,V,,,,RU AND,,STD,,,,
2440057.8,11.8,,,Vis.,GAY,,,,,,,,V,,,,RU AND,,STD,,,,
2440057.8,11.7,,,Vis.,LVT,,,,,,,,V,,,,RU AND,,STD,,,,
2440057.9,11.4,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440068.6,11.1,,,Vis.,SZR,,,,,,,,V,,,,RU AND,,STD,,,,
2440072.8,11.3,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440082.8,11.6,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440086.8,11.2,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440088.8,11.0,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440090.9,11.3,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440091.7,11.2,,,Vis.,TJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440093.9,11.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440095.7,11.2,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440096.7,11.8,,,Vis.,GAY,,,,,,,,V,,,,RU AND,,STD,,,,
2440098.9,11.4,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440099.9,11.8,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440114.8,11.7,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440115.7,12.2,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440119.5,11.7,,,Vis.,FE,,,,,,,,V,,,,RU AND,,STD,,,,
2440126.7,12.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440128.7,11.8,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440129.8,11.7,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440132.9,12.0,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440140.7,12.4,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440143.6,12.3,,,Vis.,TJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440146.6,12.5,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440151.7,12.3,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440160.8,12.3,,,Vis.,SCE,,,,,,,,V,,,,RU AND,,STD,,,,
2440173.6,12.9,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440181.8,13.6,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440182.7,13.7,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440185.6,13.0,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440197.6,12.4,,,Vis.,HTD,,,,,,,,V,,,,RU AND,,STD,,,,
2440198.6,12.2,,,Vis.,PO,,,,,,,,V,,,,RU AND,,STD,,,,
2440199.6,12.1,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440204.6,12.0,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440209.7,11.3,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440214.6,11.3,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440215.7,11.2,,,Vis.,PO,,,,,,,,V,,,,RU AND,,STD,,,,
2440228.8,11.2,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440229.6,11.1,,,Vis.,PO,,,,,,,,V,,,,RU AND,,STD,,,,
2440233.6,11.4,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440233.6,11.0,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440235.6,11.1,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440241.5,11.3,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440249.6,11.4,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440257.6,12.0,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440257.6,11.6,,,Vis.,PO,,,,,,,,V,,,,RU AND,,STD,,,,
2440260.5,11.4,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440261.7,12.3,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440263.5,10.8,,,Vis.,HE,,,,,,,,V,,,,RU AND,,STD,,,,
2440265.6,12.0,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440266.6,12.4,,,Vis.,MJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440274.5,10.8,,,Vis.,HE,,,,,,,,V,,,,RU AND,,STD,,,,
2440285.5,11.5,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440285.6,11.5,,,Vis.,CK,,,,,,,,V,,,,RU AND,,STD,,,,
2440286.5,11.3,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440296.5,11.5,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440414.8,13.6,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440441.8,13.0,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440442.8,12.6,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440445.7,11.2,,,Vis.,HE,,,,,,,,V,,,,RU AND,,STD,,,,
2440448.7,11.1,,,Vis.,HE,,,,,,,,V,,,,RU AND,,STD,,,,
2440451.9,13.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440477.8,11.5,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440478.7,11.1,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440483.4,11.2,,,Vis.,HEE,,,,,,,,V,,,,RU AND,,STD,,,,
2440483.7,11.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440483.7,11.8,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440485.8,11.6,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440486.6,11.1,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2440494.6,11.3,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440496.9,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440499.6,11.7,,,Vis.,BRK,,,,,,,,V,,,,RU AND,,STD,,,,
2440500.4,11.5,,,Vis.,HEE,,,,,,,,V,,,,RU AND,,STD,,,,
2440500.4,11.2,,,Vis.,LKS,,,,,,,,V,,,,RU AND,,STD,,,,
2440502.6,11.5,,,Vis.,GAY,,,,,,,,V,,,,RU AND,,STD,,,,
2440502.7,11.6,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440506.8,11.8,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440510.6,12.2,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440513.7,11.3,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440525.6,12.0,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440531.7,11.2,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440532.7,11.5,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440534.6,11.8,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440534.7,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440535.7,11.2,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440539.6,11.6,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440559.5,11.5,,,Vis.,FE,,,,,,,,V,,,,RU AND,,STD,,,,
2440561.7,11.5,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440565.7,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440565.7,11.7,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440569.6,11.0,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440586.6,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440589.6,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440589.7,11.5,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440591.5,11.2,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
