,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.0,0.15,0.13,0.05,0.02,0.04,0.01,0.16,0.01,0.02,0.02,0.02,0.01,0.04,0.08,0.05,0.07,0.03,0.04,0.07,0.09,0.06,0.09,0.11,0.02,0.04,0.07,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.05,0.01,0.03,0.04,0.03,0.02,0.05,0.02,0.01,0.02,0.02,0.01,0.04,0.03,0.01,0.02,0.05,0.0,0.01,0.02,0.04,0.0,0.0,0.01,0.11,0.14
0.6931471805599453,0.15,0.14,0.07,0.03,0.05,0.02,0.13,0.015,0.02,0.015,0.015,0.015,0.05,0.08,0.060000000000000005,0.085,0.05,0.065,0.09,0.09,0.08,0.1,0.095,0.035,0.05500000000000001,0.09,0.05500000000000001,0.04,0.035,0.03,0.035,0.025,0.025,0.035,0.055,0.04,0.025,0.045,0.04,0.025,0.045,0.03,0.02,0.025,0.02,0.01,0.03,0.035,0.015,0.02,0.04,0.005,0.01,0.015,0.06,0.04,0.0,0.045,0.165,0.15000000000000002
1.0986122886681098,0.15,0.15,0.09,0.04,0.06,0.03,0.1,0.02,0.02,0.01,0.01,0.02,0.06,0.08,0.07,0.1,0.07,0.09,0.11,0.09,0.1,0.11,0.08,0.05,0.07,0.11,0.07,0.05,0.04,0.04,0.04,0.03,0.02,0.04,0.06,0.07,0.02,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.02,0.01,0.02,0.04,0.02,0.02,0.03,0.01,0.01,0.01,0.08,0.08,0.0,0.08,0.22,0.16
1.3862943611198906,0.16,0.16499999999999998,0.13,0.075,0.09,0.065,0.13,0.035,0.04,0.034999999999999996,0.034999999999999996,0.04,0.07,0.10500000000000001,0.11,0.125,0.10500000000000001,0.125,0.125,0.115,0.12000000000000001,0.135,0.10500000000000001,0.08,0.095,0.12,0.09,0.07,0.05500000000000001,0.07,0.06,0.04,0.03,0.06,0.08499999999999999,0.085,0.04,0.065,0.060000000000000005,0.04,0.05,0.05500000000000001,0.04,0.04,0.025,0.030000000000000002,0.045000000000000005,0.08,0.045000000000000005,0.045000000000000005,0.085,0.034999999999999996,0.034999999999999996,0.06,0.11000000000000001,0.17500000000000002,0.04,0.155,0.32,0.325
1.791759469228055,0.17,0.18,0.17,0.11,0.12,0.1,0.16,0.05,0.06,0.06,0.06,0.06,0.08,0.13,0.15,0.15,0.14,0.16,0.14,0.14,0.14,0.16,0.13,0.11,0.12,0.13,0.11,0.09,0.07,0.1,0.08,0.05,0.04,0.08,0.11,0.1,0.06,0.08,0.07,0.05,0.06,0.07,0.05,0.05,0.03,0.05,0.07,0.12,0.07,0.07,0.14,0.06,0.06,0.11,0.14,0.27,0.08,0.23,0.42,0.49
2.4849066497880004,0.26,0.25,0.3,0.22,0.18,0.19,0.2,0.1,0.13,0.12,0.12,0.12,0.13,0.18,0.19,0.2,0.18,0.21,0.16,0.16,0.17,0.18,0.18,0.16,0.15,0.17,0.14,0.11,0.14,0.15,0.11,0.13,0.1,0.1,0.13,0.13,0.1,0.12,0.13,0.11,0.1,0.11,0.12,0.09,0.13,0.11,0.13,0.25,0.18,0.22,0.26,0.24,0.26,0.28,0.33,0.39,0.33,0.34,0.51,0.65
3.1780538303479458,0.58,0.69,0.8,0.61,0.45,0.45,0.36,0.2,0.25,0.25,0.25,0.25,0.22,0.3,0.33,0.27,0.27,0.33,0.23,0.22,0.23,0.3,0.25,0.25,0.27,0.25,0.25,0.22,0.3,0.36,0.31,0.39,0.33,0.31,0.28,0.38,0.34,0.33,0.44,0.42,0.37,0.47,0.53,0.48,0.58,0.5,0.47,0.67,0.47,0.63,0.56,0.58,0.61,0.64,0.67,0.74,0.64,0.75,0.94,1.06
3.58351893845611,0.98,1.18,1.29,1.01,0.79,0.81,0.55,0.33,0.42,0.41,0.41,0.36,0.3,0.43,0.51,0.38,0.35,0.41,0.3,0.3,0.31,0.38,0.34,0.36,0.42,0.36,0.36,0.32,0.52,0.66,0.61,0.79,0.63,0.57,0.56,0.78,0.69,0.69,0.9,0.87,0.79,0.88,1.02,0.94,1.07,0.95,0.88,1.1,0.77,1.01,0.89,0.91,0.94,1.01,1.0,1.07,0.92,1.05,1.24,1.31
4.0943445622221,1.95,2.13,2.24,1.97,1.68,1.76,1.35,0.96,0.96,0.99,0.96,0.83,0.71,0.87,1.04,0.82,0.67,0.72,0.6,0.59,0.62,0.72,0.61,0.72,0.88,0.77,0.77,0.68,1.05,1.41,1.38,1.62,1.39,1.31,1.37,1.75,1.49,1.51,1.73,1.69,1.54,1.62,1.76,1.63,1.78,1.62,1.49,1.65,1.18,1.5,1.37,1.43,1.49,1.63,1.54,1.54,1.37,1.52,1.65,1.76
4.430816798843313,2.71,2.82,2.9,2.66,2.37,2.5,2.09,1.56,1.43,1.58,1.53,1.35,1.24,1.39,1.61,1.33,1.03,1.11,0.98,1.01,1.04,1.14,1.04,1.18,1.38,1.26,1.24,1.11,1.55,1.96,2.0,2.24,2.02,1.95,2.1,2.45,2.13,2.13,2.3,2.25,2.06,2.13,2.24,2.05,2.22,2.05,1.89,1.97,1.49,1.82,1.71,1.79,1.86,2.07,1.93,1.94,1.75,1.88,1.99,2.09
4.787491742782046,3.42,3.42,3.47,3.32,3.05,3.18,2.82,2.23,1.92,2.17,2.08,1.89,1.83,1.98,2.23,1.95,1.59,1.67,1.51,1.57,1.65,1.72,1.62,1.78,2.02,1.89,1.87,1.7,2.16,2.52,2.6,2.78,2.64,2.57,2.75,3.04,2.67,2.66,2.73,2.67,2.48,2.53,2.58,2.35,2.52,2.35,2.18,2.17,1.68,2.0,1.94,2.05,2.12,2.35,2.2,2.21,2.06,2.16,2.21,2.27
5.480638923341991,4.33,4.25,4.29,4.15,3.91,4.09,3.77,3.19,2.66,2.89,2.77,2.57,2.59,2.73,3.0,2.73,2.27,2.38,2.21,2.29,2.42,2.46,2.37,2.54,2.79,2.71,2.71,2.49,2.95,3.22,3.34,3.46,3.41,3.33,3.54,3.72,3.35,3.31,3.31,3.22,3.05,3.08,3.07,2.83,2.98,2.81,2.62,2.47,2.04,2.38,2.31,2.49,2.63,2.83,2.61,2.64,2.51,2.57,2.63,2.67
