"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2010","35.72","35.89","36.26","35.67","39.56M","0.39%"
"09/28/2010","35.58","35.96","36.00","35.44","29.38M","-0.78%"
"09/27/2010","35.86","35.07","35.89","34.75","35.19M","2.69%"
"09/24/2010","34.92","35.02","35.86","34.84","111.47M","-1.88%"
"09/23/2010","35.59","34.89","36.60","34.82","41.63M","2.54%"
"09/22/2010","34.71","35.25","35.28","34.44","25.13M","-1.87%"
"09/21/2010","35.37","35.90","36.11","34.96","19.93M","-1.59%"
"09/20/2010","35.94","35.52","36.15","35.07","16.25M","1.30%"
"09/17/2010","35.48","35.34","35.55","34.99","13.75M","0.57%"
"09/16/2010","35.28","34.78","35.37","34.64","11.45M","0.74%"
"09/15/2010","35.02","34.21","35.17","34.02","18.13M","-0.68%"
"09/14/2010","35.26","36.78","36.80","35.21","17.51M","-3.19%"
"09/13/2010","36.42","36.38","36.95","36.28","15.85M","1.62%"
"09/10/2010","35.84","36.20","36.30","35.73","9.75M","-0.61%"
"09/09/2010","36.06","36.24","36.55","35.44","14.17M","-1.31%"
"09/08/2010","36.54","37.05","37.06","36.44","13.41M","0.27%"
"09/07/2010","36.44","37.43","37.45","36.37","15.38M","-2.77%"
"09/03/2010","37.48","36.97","37.60","36.72","23.24M","4.14%"
"09/02/2010","35.99","36.04","36.07","35.10","19.91M","2.62%"
"09/01/2010","35.07","33.96","35.14","33.81","12.33M","5.16%"
"08/31/2010","33.35","33.11","33.42","32.87","8.95M","1.65%"
"08/30/2010","32.81","33.63","33.76","32.78","7.27M","-2.90%"
"08/27/2010","33.79","33.27","33.93","32.89","12.57M","2.08%"
"08/26/2010","33.10","34.19","34.23","33.03","8.57M","-0.93%"
"08/25/2010","33.41","33.33","33.52","32.48","14.19M","-0.33%"
"08/24/2010","33.52","33.65","34.01","33.47","10.42M","-1.50%"
"08/23/2010","34.03","34.69","34.79","34.03","6.84M","-1.13%"
"08/20/2010","34.42","34.52","34.57","33.86","11.47M","-0.35%"
"08/19/2010","34.54","34.91","35.17","34.46","16.09M","-3.90%"
"08/18/2010","35.94","36.45","36.53","35.82","12.28M","-2.02%"
"08/17/2010","36.68","36.94","37.09","36.58","10.18M","1.47%"
"08/16/2010","36.15","35.89","36.26","35.80","6.36M","0.78%"
